cluster,gene,auc,power
C7,LHX2,0.308,0.383
C7,TCF4,0.509,0.017
C7,DOK5,0.484,0.032
C7,MPPED2,0.419,0.161
C7,GLI3,0.494,0.011
C7,SFRP1,0.483,0.035
C7,HEY1,0.652,0.304
C7,HES1,0.765,0.53
C7,TFAP2C,0.395,0.211
C7,TUBB,0.31,0.38
C7,CREB5,0.493,0.013
C7,C1orf61,0.304,0.391
C7,IFI44L,0.455,0.09
C7,NFIA,0.53,0.059
C7,PHLDA1,0.62,0.24
C7,NFIB,0.54,0.081
C7,TMSB10,0.779,0.558
C7,CALM2,0.345,0.31
C7,CFL1,0.348,0.304
C7,TUBA1C,0.584,0.167
C7,STMN1,0.293,0.414
C7,ARL6IP1,0.464,0.072
C7,EIF5A,0.551,0.103
C7,KNSTRN,0.389,0.222
C7,YWHAZ,0.477,0.046
C7,ACTG1,0.636,0.272
C7,THY1,0.7,0.4
C7,PSRC1,0.404,0.192
C7,PLK1,0.416,0.168
C7,TUBB4B,0.549,0.099
C7,TUBB2A,0.365,0.27
C7,AURKA,0.436,0.128
C7,FTH1,0.606,0.211
C7,CCNA2,0.387,0.226
C7,CDC20,0.377,0.246
C7,PTMS,0.354,0.293
C7,HN1,0.296,0.407
C7,DYNLL1,0.623,0.246
C7,YWHAB,0.536,0.073
C7,TROAP,0.391,0.217
C7,CCNB1,0.465,0.069
C7,MLLT11,0.391,0.217
C7,OLFM3,0.382,0.236
C7,ATP1A2,0.454,0.092
C7,CDO1,0.336,0.327
C7,RSPO3,0.534,0.068
C7,PAX6,0.278,0.445
C7,SDK2,0.411,0.178
C7,ITGA6,0.364,0.271
C7,GPR98,0.246,0.508
C7,RFX4,0.239,0.521
C7,EDNRB,0.415,0.17
C7,NTRK2,0.412,0.175
C7,RSPO2,0.514,0.028
C7,TMEM47,0.365,0.271
C7,CLU,0.465,0.071
C7,ADCY2,0.439,0.122
C7,GAS2L3,0.393,0.214
C7,NEK2,0.35,0.3
C7,KIF20A,0.444,0.112
C7,PIF1,0.446,0.108
C7,NDE1,0.478,0.043
C7,CEP55,0.468,0.065
C7,FAM72B,0.448,0.104
C7,KIF14,0.43,0.139
C7,GTSE1,0.422,0.157
C7,SGOL2,0.378,0.243
C7,CCNF,0.414,0.173
C7,FAM72A,0.483,0.034
C7,CCNB2,0.38,0.24
C7,CDCA8,0.399,0.203
C7,CDCA3,0.375,0.25
C7,BORA,0.463,0.073
C7,KIF4B,0.388,0.223
C7,CXXC4,0.293,0.413
C7,CDCA2,0.412,0.176
C7,BUB1,0.41,0.179
C7,ARHGAP11B,0.402,0.196
C7,CDC25B,0.474,0.051
C7,KIF2C,0.418,0.165
C7,GPSM2,0.44,0.12
C7,NUF2,0.411,0.177
C7,HMMR,0.403,0.193
C7,CENPE,0.416,0.167
C7,CDC25C,0.385,0.23
C7,EFNB2,0.525,0.05
C7,CNTNAP2,0.266,0.467
C7,DTL,0.366,0.267
C7,WDR76,0.466,0.068
C7,NME1,0.453,0.095
C7,FABP5,0.503,0.005
C7,MCM3,0.409,0.183
C7,PPIA,0.384,0.232
C7,NGFRAP1,0.348,0.304
C7,ANLN,0.435,0.129
C7,KIF23,0.452,0.096
C7,PBK,0.37,0.261
C7,RAD21,0.43,0.141
C7,NUBP2,0.396,0.208
C7,FLYWCH2,0.47,0.06
C7,RCN3,0.636,0.272
C7,C19orf60,0.493,0.014
C7,TTYH3,0.439,0.121
C7,AP2S1,0.558,0.117
C7,MRPL12,0.44,0.12
C7,DRAP1,0.586,0.172
C7,C9orf142,0.431,0.138
C7,GPAA1,0.478,0.044
C7,LAMA4,0.756,0.512
C7,IER2,0.67,0.341
C7,ALKBH7,0.531,0.062
C7,BAD,0.487,0.026
C7,C20orf27,0.433,0.134
C7,CTSD,0.539,0.079
C7,H2AFY2,0.428,0.144
C7,MCM2,0.395,0.209
C7,TUBB3,0.21,0.581
C7,MRPL41,0.495,0.01
C7,UNG,0.431,0.138
C7,EIF3F,0.583,0.167
C7,FLNA,0.641,0.282
C7,PDLIM7,0.6,0.2
C7,PCBP4,0.412,0.176
C7,MRPS26,0.465,0.07
C7,JUNB,0.678,0.355
C7,DBN1,0.408,0.183
C7,SNRPB,0.421,0.159
C7,MZT2B,0.426,0.148
C7,FAM195B,0.505,0.011
C7,C7orf50,0.54,0.08
C7,CYB5R3,0.538,0.077
C7,CCND1,0.463,0.073
C7,C9orf16,0.439,0.122
C7,PFN1,0.678,0.357
C7,LIMD2,0.463,0.074
C7,COPE,0.514,0.027
C7,SCAND1,0.529,0.058
C7,CCDC124,0.479,0.042
C7,POTEE,0.476,0.048
C7,POTEJ,0.446,0.108
C7,MEIS1,0.658,0.316
C7,ZFHX3,0.625,0.249
C7,SRSF6,0.759,0.518
C7,DERA,0.589,0.178
C7,CLSPN,0.401,0.198
C7,UHRF1,0.374,0.252
C7,EBF3,0.471,0.057
C7,S100B,0.538,0.077
C7,CCDC30,0.388,0.224
C7,MLF2,0.429,0.143
C7,PPP1R10,0.607,0.214
C7,ARF1,0.655,0.311
C7,TRMT112,0.552,0.105
C7,APOL2,0.614,0.227
C7,NDUFS8,0.467,0.067
C7,MAP1LC3B2,0.575,0.149
C7,HK2,0.589,0.178
C7,WLS,0.608,0.216
C7,ATPIF1,0.514,0.027
C7,CIB1,0.592,0.185
C7,PGAM1,0.499,0.002
C7,CALM3,0.377,0.247
C7,TTYH1,0.246,0.508
C7,PKM,0.324,0.352
C7,BNIP3,0.618,0.236
C7,CDKN1A,0.612,0.225
C7,ALDOA,0.67,0.341
C7,SNAPC1,0.473,0.054
C7,WNT8B,0.467,0.065
C7,UQCR11,0.587,0.175
C7,PGK1,0.519,0.038
C7,TPBG,0.554,0.107
C7,SCD,0.282,0.436
C7,GUK1,0.653,0.306
C7,ATP1B2,0.526,0.052
C7,ZIC2,0.256,0.488
C7,PIFO,0.441,0.119
C7,UBBP4,0.555,0.109
C7,MAF,0.677,0.354
C7,CTGF,0.723,0.446
C7,GJA1,0.768,0.537
C7,MYL6,0.626,0.252
C7,NELL2,0.223,0.553
C7,ID3,0.652,0.305
C7,LPHN3,0.471,0.058
C7,IRS1,0.615,0.23
C7,C1orf168,0.546,0.091
C7,CTNNB1,0.422,0.155
C7,AXIN2,0.555,0.11
C7,SLIT2,0.794,0.588
C7,LRRN2,0.534,0.068
C7,NR2F2,0.523,0.046
C7,SLIT3,0.876,0.752
C7,DMD,0.291,0.419
C7,LRRIQ1,0.395,0.21
C7,SH3BGRL,0.512,0.024
C7,C6orf118,0.412,0.176
C7,COX6A1,0.516,0.033
C7,SPARC,0.953,0.906
C7,RSPO1,0.474,0.051
C7,HNRNPL,0.428,0.144
C7,APCDD1,0.521,0.042
C7,MARCKS,0.291,0.417
C7,HSBP1,0.369,0.263
C7,SULF2,0.563,0.126
C7,SLC7A8,0.633,0.266
C7,NR2F1,0.167,0.666
C7,CDH2,0.14,0.72
C7,CDK11A,0.466,0.067
C7,AEN,0.487,0.027
C7,DDIT4,0.483,0.035
C7,ERO1L,0.631,0.262
C7,EIF4EBP1,0.72,0.439
C7,ADM,0.542,0.084
C7,PGAM4,0.505,0.01
C7,GNL3,0.629,0.257
C7,FLRT2,0.812,0.625
C7,PDCD6,0.549,0.097
C7,GOLGA8A,0.466,0.069
C7,POLE2,0.452,0.095
C7,EIF4A1,0.593,0.186
C7,MFNG,0.467,0.066
C7,TPI1,0.496,0.008
C7,RAN,0.346,0.307
C7,DDIT3,0.739,0.478
C7,VEZF1,0.358,0.285
C7,UBE2J1,0.643,0.286
C7,C8orf46,0.446,0.108
C7,EGR1,0.628,0.256
C7,TMBIM6,0.542,0.085
C7,TRIM24,0.35,0.3
C7,HNRNPA1L2,0.347,0.307
C7,KANSL2,0.484,0.032
C7,GTF2I,0.453,0.095
C7,DAZAP2,0.513,0.026
C7,MIDN,0.615,0.229
C7,SLC38A2,0.785,0.57
C7,HNRNPA1,0.571,0.143
C7,CCT2,0.445,0.11
C7,NACA,0.575,0.149
C7,EIF5,0.597,0.195
C7,CHAC1,0.62,0.24
C7,DDX3X,0.681,0.361
C7,TCF12,0.533,0.066
C7,SRSF3,0.399,0.202
C7,ABCC9,0.489,0.022
C7,EPB41L4B,0.498,0.004
C7,ATF4,0.753,0.506
C7,NOVA2,0.284,0.431
C7,PCBP2,0.489,0.022
C7,EIF1,0.804,0.607
C7,ATP5G2,0.54,0.08
C7,ATP5B,0.497,0.005
C7,RND3,0.786,0.571
C7,BTG1,0.483,0.034
C7,RBM39,0.738,0.477
C7,DDX5,0.591,0.182
C7,CORO1C,0.494,0.012
C7,UBC,0.611,0.222
C7,H3F3B,0.733,0.465
C7,H3F3C,0.599,0.198
C8,MYT1L,0.486,0.029
C8,STMN2,0.37,0.26
C8,HMP19,0.439,0.121
C8,SCN2A,0.453,0.094
C8,GRIA2,0.498,0.004
C8,GAP43,0.502,0.003
C8,RUNX1T1,0.373,0.253
C8,NRXN1,0.531,0.062
C8,RTN1,0.446,0.109
C8,NEUROD6,0.616,0.233
C8,SCN3B,0.439,0.123
C8,RAB3A,0.39,0.22
C8,GABBR2,0.486,0.029
C8,SNAP25,0.542,0.083
C8,KIF5A,0.541,0.081
C8,BCL11B,0.63,0.26
C8,ATAT1,0.404,0.192
C8,RALYL,0.443,0.113
C8,MKI67,0.906,0.811
C8,ECT2,0.817,0.635
C8,FANCD2,0.819,0.638
C8,RRM2,0.707,0.415
C8,SMC2,0.795,0.59
C8,CKS2,0.848,0.695
C8,SMC4,0.835,0.671
C8,BARD1,0.713,0.426
C8,TPX2,0.856,0.713
C8,RAD51AP1,0.709,0.417
C8,GMNN,0.654,0.308
C8,CENPN,0.786,0.572
C8,AURKB,0.863,0.726
C8,DLGAP5,0.799,0.598
C8,UBE2C,0.837,0.674
C8,TOP2A,0.847,0.694
C8,GNG5,0.539,0.077
C8,NDC80,0.824,0.648
C8,ASPM,0.852,0.704
C8,CENPK,0.758,0.517
C8,TRIM59,0.828,0.657
C8,MIS18BP1,0.807,0.613
C8,CDK1,0.827,0.653
C8,MAD2L1,0.754,0.509
C8,HMGN2,0.852,0.704
C8,CENPF,0.85,0.7
C8,BIRC5,0.896,0.791
C8,CENPU,0.721,0.442
C8,ANP32E,0.84,0.68
C8,NUSAP1,0.911,0.821
C8,CKS1B,0.84,0.68
C8,HMGB2,0.885,0.77
C8,TUBA1A,0.542,0.085
C8,CKB,0.729,0.458
C8,SOX11,0.479,0.041
C8,TUBB2B,0.557,0.113
C8,PTBP2,0.378,0.245
C8,DPYSL2,0.501,0.002
C8,MAP1B,0.71,0.42
C8,DCX,0.437,0.126
C8,P4HA2,0.367,0.266
C8,MMP2,0.397,0.205
C8,TIMP1,0.398,0.205
C8,KDELR3,0.471,0.058
C8,MGP,0.463,0.075
C8,FXYD5,0.437,0.126
C8,SDC4,0.4,0.201
C8,IFITM2,0.356,0.289
C8,PDGFRB,0.48,0.04
C8,PPIC,0.418,0.165
C8,IFITM3,0.389,0.222
C8,TGFBI,0.462,0.076
C8,TPM2,0.424,0.151
C8,FTL,0.302,0.395
C8,KRT8,0.431,0.137
C8,BNC2,0.427,0.146
C8,GXYLT2,0.437,0.126
C8,OLFML3,0.467,0.067
C8,MME,0.472,0.056
C8,RBMS3,0.421,0.158
C8,ANXA2,0.356,0.287
C8,LGALS1,0.419,0.162
C8,SERPINB9,0.445,0.111
C8,COL5A2,0.469,0.062
C8,COL21A1,0.451,0.098
C8,SNAI2,0.52,0.04
C8,S100A10,0.439,0.121
C8,HAS2,0.459,0.082
C8,PITX2,0.467,0.066
C8,CRISPLD2,0.485,0.031
C8,IFITM1,0.464,0.072
C8,DDR2,0.445,0.11
C8,POSTN,0.525,0.05
C8,COL5A1,0.484,0.031
C8,MFAP4,0.483,0.034
C8,COL6A3,0.547,0.094
C8,LUM,0.527,0.054
C8,COL1A2,0.548,0.097
C8,DCN,0.486,0.028
C8,COL1A1,0.546,0.092
C8,COL3A1,0.475,0.049
C8,S100A11,0.422,0.157
C8,MTRNR2L12,0.375,0.251
C8,NNAT,0.268,0.463
C8,PRTG,0.257,0.487
C8,BCAT1,0.227,0.547
C8,CXADR,0.278,0.443
C8,EZR,0.778,0.557
C8,NDUFA6,0.55,0.099
C8,MEGF10,0.728,0.455
C8,STK17B,0.737,0.473
C8,SYNE2,0.853,0.707
C8,CLIC1,0.574,0.148
C8,APOLD1,0.75,0.501
C8,POU3F3,0.791,0.581
C8,ID4,0.768,0.537
C8,CA12,0.66,0.321
C8,FHL2,0.689,0.378
C8,FABP7,0.832,0.665
C8,H2AFX,0.839,0.677
C8,MASP1,0.716,0.432
C8,KIAA1217,0.761,0.522
C8,NTRK3,0.838,0.677
C8,MEIS2,0.773,0.547
C8,CSNK2B,0.432,0.135
C8,SLC1A3,0.724,0.448
C8,SEMA5A,0.625,0.249
C8,NBPF14,0.697,0.395
C8,IL33,0.734,0.468
C8,DMRTA2,0.795,0.59
C8,NBPF10,0.625,0.25
C8,NDUFA3,0.497,0.006
C8,BCL11A,0.699,0.397
C8,DDX39B,0.466,0.068
C8,FOXG1,0.832,0.665
C8,SOX9,0.801,0.601
C8,LHX2,0.849,0.698
C8,TCF4,0.765,0.531
C8,DOK5,0.732,0.463
C8,MPPED2,0.837,0.675
C8,GLI3,0.793,0.585
C8,SFRP1,0.829,0.658
C8,HEY1,0.822,0.645
C8,HES1,0.798,0.595
C8,TFAP2C,0.86,0.721
C8,TUBB,0.74,0.48
C8,CREB5,0.845,0.691
C8,C1orf61,0.85,0.701
C8,IFI44L,0.836,0.672
C8,NFIA,0.764,0.528
C8,PHLDA1,0.817,0.633
C8,NFIB,0.773,0.547
C8,TMSB10,0.422,0.157
C8,CALM2,0.561,0.122
C8,CFL1,0.59,0.181
C8,TUBA1C,0.58,0.159
C8,STMN1,0.6,0.199
C8,ARL6IP1,0.663,0.326
C8,EIF5A,0.581,0.162
C8,KNSTRN,0.779,0.558
C8,YWHAZ,0.534,0.068
C8,ACTG1,0.696,0.392
C8,THY1,0.49,0.02
C8,PSRC1,0.751,0.502
C8,PLK1,0.764,0.527
C8,TUBB4B,0.715,0.43
C8,TUBB2A,0.62,0.239
C8,AURKA,0.741,0.481
C8,FTH1,0.494,0.013
C8,CCNA2,0.738,0.476
C8,CDC20,0.715,0.429
C8,PTMS,0.567,0.134
C8,HN1,0.744,0.488
C8,DYNLL1,0.539,0.078
C8,YWHAB,0.482,0.035
C8,TROAP,0.776,0.553
C8,CCNB1,0.808,0.616
C8,MLLT11,0.308,0.383
C8,OLFM3,0.589,0.179
C8,ATP1A2,0.501,0.002
C8,CDO1,0.424,0.152
C8,RSPO3,0.411,0.179
C8,PAX6,0.796,0.591
C8,SDK2,0.523,0.047
C8,ITGA6,0.487,0.026
C8,GPR98,0.608,0.215
C8,RFX4,0.643,0.285
C8,EDNRB,0.38,0.239
C8,NTRK2,0.342,0.316
C8,RSPO2,0.43,0.14
C8,TMEM47,0.617,0.235
C8,CLU,0.627,0.255
C8,ADCY2,0.496,0.008
C8,GAS2L3,0.732,0.465
C8,NEK2,0.721,0.441
C8,KIF20A,0.707,0.414
C8,PIF1,0.667,0.333
C8,NDE1,0.725,0.451
C8,CEP55,0.616,0.232
C8,FAM72B,0.606,0.211
C8,KIF14,0.721,0.443
C8,GTSE1,0.822,0.644
C8,SGOL2,0.798,0.596
C8,CCNF,0.74,0.48
C8,FAM72A,0.594,0.187
C8,CCNB2,0.781,0.562
C8,CDCA8,0.83,0.66
C8,CDCA3,0.84,0.679
C8,BORA,0.564,0.128
C8,KIF4B,0.717,0.435
C8,CXXC4,0.276,0.448
C8,CDCA2,0.753,0.506
C8,BUB1,0.831,0.662
C8,ARHGAP11B,0.698,0.396
C8,CDC25B,0.656,0.312
C8,KIF2C,0.847,0.693
C8,GPSM2,0.592,0.184
C8,NUF2,0.804,0.608
C8,HMMR,0.651,0.301
C8,CENPE,0.804,0.607
C8,CDC25C,0.745,0.489
C8,EFNB2,0.723,0.446
C8,CNTNAP2,0.466,0.068
C8,DTL,0.513,0.026
C8,WDR76,0.58,0.16
C8,NME1,0.507,0.014
C8,FABP5,0.633,0.266
C8,MCM3,0.501,0.001
C8,PPIA,0.627,0.253
C8,NGFRAP1,0.552,0.105
C8,ANLN,0.858,0.716
C8,KIF23,0.838,0.675
C8,PBK,0.875,0.751
C8,RAD21,0.701,0.403
C8,NUBP2,0.529,0.059
C8,FLYWCH2,0.472,0.057
C8,RCN3,0.474,0.053
C8,C19orf60,0.473,0.054
C8,TTYH3,0.578,0.157
C8,AP2S1,0.452,0.095
C8,MRPL12,0.403,0.194
C8,DRAP1,0.443,0.114
C8,C9orf142,0.503,0.007
C8,GPAA1,0.476,0.048
C8,LAMA4,0.455,0.091
C8,IER2,0.554,0.108
C8,ALKBH7,0.383,0.235
C8,BAD,0.462,0.076
C8,C20orf27,0.446,0.108
C8,CTSD,0.447,0.106
C8,H2AFY2,0.475,0.051
C8,MCM2,0.476,0.047
C8,TUBB3,0.405,0.191
C8,MRPL41,0.522,0.044
C8,UNG,0.41,0.18
C8,EIF3F,0.483,0.035
C8,FLNA,0.564,0.127
C8,PDLIM7,0.49,0.021
C8,PCBP4,0.454,0.092
C8,MRPS26,0.508,0.016
C8,JUNB,0.538,0.076
C8,DBN1,0.499,0.001
C8,SNRPB,0.614,0.228
C8,MZT2B,0.555,0.109
C8,FAM195B,0.523,0.045
C8,C7orf50,0.542,0.083
C8,CYB5R3,0.568,0.137
C8,CCND1,0.335,0.331
C8,C9orf16,0.422,0.155
C8,PFN1,0.541,0.083
C8,LIMD2,0.467,0.067
C8,COPE,0.454,0.092
C8,SCAND1,0.499,0.001
C8,CCDC124,0.462,0.075
C8,POTEE,0.435,0.129
C8,POTEJ,0.451,0.097
C8,MEIS1,0.322,0.357
C8,ZFHX3,0.353,0.294
C8,SRSF6,0.518,0.035
C8,DERA,0.377,0.245
C8,CLSPN,0.53,0.06
C8,UHRF1,0.616,0.232
C8,EBF3,0.45,0.099
C8,S100B,0.465,0.071
C8,CCDC30,0.473,0.055
C8,MLF2,0.483,0.034
C8,PPP1R10,0.496,0.009
C8,ARF1,0.539,0.079
C8,TRMT112,0.532,0.065
C8,APOL2,0.473,0.053
C8,NDUFS8,0.545,0.09
C8,MAP1LC3B2,0.452,0.095
C8,HK2,0.407,0.187
C8,WLS,0.286,0.427
C8,ATPIF1,0.45,0.1
C8,CIB1,0.436,0.128
C8,PGAM1,0.542,0.084
C8,CALM3,0.615,0.231
C8,TTYH1,0.695,0.39
C8,PKM,0.577,0.154
C8,BNIP3,0.458,0.083
C8,CDKN1A,0.373,0.255
C8,ALDOA,0.471,0.057
C8,SNAPC1,0.511,0.022
C8,WNT8B,0.447,0.106
C8,UQCR11,0.44,0.121
C8,PGK1,0.472,0.056
C8,TPBG,0.34,0.321
C8,SCD,0.662,0.324
C8,GUK1,0.47,0.061
C8,ATP1B2,0.521,0.043
C8,ZIC2,0.619,0.239
C8,PIFO,0.468,0.064
C8,UBBP4,0.615,0.23
C8,MAF,0.338,0.324
C8,CTGF,0.375,0.251
C8,GJA1,0.315,0.37
C8,MYL6,0.432,0.137
C8,NELL2,0.3,0.4
C8,ID3,0.391,0.219
C8,LPHN3,0.245,0.509
C8,IRS1,0.492,0.016
C8,C1orf168,0.455,0.089
C8,CTNNB1,0.452,0.096
C8,AXIN2,0.441,0.118
C8,SLIT2,0.313,0.374
C8,LRRN2,0.507,0.014
C8,NR2F2,0.279,0.441
C8,SLIT3,0.378,0.245
C8,DMD,0.492,0.016
C8,LRRIQ1,0.427,0.147
C8,SH3BGRL,0.495,0.009
C8,C6orf118,0.441,0.119
C8,COX6A1,0.45,0.101
C8,SPARC,0.421,0.158
C8,RSPO1,0.39,0.22
C8,HNRNPL,0.581,0.161
C8,APCDD1,0.503,0.007
C8,MARCKS,0.612,0.224
C8,HSBP1,0.445,0.109
C8,SULF2,0.398,0.203
C8,SLC7A8,0.423,0.154
C8,NR2F1,0.516,0.032
C8,CDH2,0.49,0.02
C8,CDK11A,0.509,0.017
C8,AEN,0.517,0.035
C8,DDIT4,0.392,0.215
C8,ERO1L,0.495,0.011
C8,EIF4EBP1,0.503,0.006
C8,ADM,0.47,0.061
C8,PGAM4,0.533,0.067
C8,GNL3,0.469,0.062
C8,FLRT2,0.479,0.042
C8,PDCD6,0.488,0.025
C8,GOLGA8A,0.486,0.029
C8,POLE2,0.526,0.053
C8,EIF4A1,0.362,0.277
C8,MFNG,0.534,0.069
C8,TPI1,0.55,0.099
C8,RAN,0.612,0.224
C8,DDIT3,0.462,0.076
C8,VEZF1,0.579,0.159
C8,UBE2J1,0.427,0.145
C8,C8orf46,0.475,0.049
C8,EGR1,0.617,0.233
C8,TMBIM6,0.588,0.176
C8,TRIM24,0.555,0.111
C8,HNRNPA1L2,0.498,0.003
C8,KANSL2,0.546,0.092
C8,GTF2I,0.536,0.072
C8,DAZAP2,0.515,0.03
C8,MIDN,0.396,0.208
C8,SLC38A2,0.499,0.001
C8,HNRNPA1,0.482,0.036
C8,CCT2,0.441,0.117
C8,NACA,0.297,0.406
C8,EIF5,0.521,0.041
C8,CHAC1,0.544,0.088
C8,DDX3X,0.378,0.245
C8,TCF12,0.438,0.124
C8,SRSF3,0.4,0.201
C8,ABCC9,0.439,0.122
C8,EPB41L4B,0.456,0.089
C8,ATF4,0.526,0.052
C8,NOVA2,0.509,0.019
C8,PCBP2,0.472,0.057
C8,EIF1,0.46,0.079
C8,ATP5G2,0.411,0.179
C8,ATP5B,0.494,0.011
C8,RND3,0.544,0.087
C8,BTG1,0.472,0.056
C8,RBM39,0.496,0.008
C8,DDX5,0.491,0.019
C8,CORO1C,0.467,0.066
C8,UBC,0.561,0.121
C8,H3F3B,0.354,0.292
C8,H3F3C,0.374,0.251
C9,MYT1L,0.461,0.077
C9,STMN2,0.414,0.171
C9,HMP19,0.469,0.061
C9,SCN2A,0.461,0.078
C9,GRIA2,0.456,0.088
C9,GAP43,0.458,0.085
C9,RUNX1T1,0.388,0.225
C9,NRXN1,0.489,0.021
C9,RTN1,0.359,0.282
C9,NEUROD6,0.583,0.165
C9,SCN3B,0.461,0.079
C9,RAB3A,0.412,0.177
C9,GABBR2,0.478,0.044
C9,SNAP25,0.446,0.107
C9,KIF5A,0.552,0.104
C9,BCL11B,0.523,0.046
C9,ATAT1,0.393,0.215
C9,RALYL,0.438,0.124
C9,MKI67,0.311,0.378
C9,ECT2,0.308,0.384
C9,FANCD2,0.419,0.163
C9,RRM2,0.347,0.305
C9,SMC2,0.43,0.14
C9,CKS2,0.309,0.382
C9,SMC4,0.386,0.228
C9,BARD1,0.493,0.015
C9,TPX2,0.283,0.434
C9,RAD51AP1,0.431,0.138
C9,GMNN,0.447,0.105
C9,CENPN,0.455,0.089
C9,AURKB,0.275,0.45
C9,DLGAP5,0.268,0.464
C9,UBE2C,0.262,0.475
C9,TOP2A,0.355,0.29
C9,GNG5,0.346,0.308
C9,NDC80,0.328,0.345
C9,ASPM,0.312,0.375
C9,CENPK,0.459,0.083
C9,TRIM59,0.417,0.166
C9,MIS18BP1,0.371,0.258
C9,CDK1,0.321,0.358
C9,MAD2L1,0.339,0.321
C9,HMGN2,0.403,0.193
C9,CENPF,0.343,0.313
C9,BIRC5,0.278,0.445
C9,CENPU,0.463,0.074
C9,ANP32E,0.473,0.053
C9,NUSAP1,0.364,0.272
C9,CKS1B,0.36,0.28
C9,HMGB2,0.337,0.326
C9,TUBA1A,0.469,0.062
C9,CKB,0.735,0.469
C9,SOX11,0.536,0.072
C9,TUBB2B,0.424,0.152
C9,PTBP2,0.525,0.051
C9,DPYSL2,0.5,0.001
C9,MAP1B,0.685,0.37
C9,DCX,0.48,0.039
C9,P4HA2,0.382,0.237
C9,MMP2,0.386,0.229
C9,TIMP1,0.386,0.228
C9,KDELR3,0.448,0.104
C9,MGP,0.455,0.091
C9,FXYD5,0.436,0.128
C9,SDC4,0.379,0.241
C9,IFITM2,0.354,0.292
C9,PDGFRB,0.441,0.117
C9,PPIC,0.424,0.152
C9,IFITM3,0.493,0.014
C9,TGFBI,0.457,0.087
C9,TPM2,0.429,0.143
C9,FTL,0.498,0.005
C9,KRT8,0.441,0.119
C9,BNC2,0.419,0.161
C9,GXYLT2,0.428,0.143
C9,OLFML3,0.462,0.075
C9,MME,0.449,0.102
C9,RBMS3,0.431,0.137
C9,ANXA2,0.383,0.234
C9,LGALS1,0.41,0.18
C9,SERPINB9,0.383,0.234
C9,COL5A2,0.395,0.211
C9,COL21A1,0.474,0.052
C9,SNAI2,0.433,0.134
C9,S100A10,0.443,0.114
C9,HAS2,0.485,0.03
C9,PITX2,0.455,0.089
C9,CRISPLD2,0.462,0.075
C9,IFITM1,0.416,0.167
C9,DDR2,0.485,0.03
C9,POSTN,0.463,0.074
C9,COL5A1,0.421,0.158
C9,MFAP4,0.427,0.147
C9,COL6A3,0.425,0.149
C9,LUM,0.471,0.059
C9,COL1A2,0.436,0.129
C9,DCN,0.524,0.048
C9,COL1A1,0.492,0.016
C9,COL3A1,0.475,0.05
C9,S100A11,0.419,0.162
C9,MTRNR2L12,0.454,0.091
C9,NNAT,0.314,0.373
C9,PRTG,0.25,0.5
C9,BCAT1,0.289,0.422
C9,CXADR,0.268,0.464
C9,EZR,0.771,0.541
C9,NDUFA6,0.506,0.013
C9,MEGF10,0.656,0.312
C9,STK17B,0.566,0.132
C9,SYNE2,0.868,0.736
C9,CLIC1,0.409,0.183
C9,APOLD1,0.416,0.168
C9,POU3F3,0.619,0.239
C9,ID4,0.784,0.568
C9,CA12,0.725,0.45
C9,FHL2,0.572,0.144
C9,FABP7,0.862,0.725
C9,H2AFX,0.392,0.216
C9,MASP1,0.684,0.368
C9,KIAA1217,0.7,0.401
C9,NTRK3,0.672,0.344
C9,MEIS2,0.647,0.294
C9,CSNK2B,0.526,0.053
C9,SLC1A3,0.793,0.585
C9,SEMA5A,0.685,0.37
C9,NBPF14,0.604,0.208
C9,IL33,0.613,0.227
C9,DMRTA2,0.675,0.35
C9,NBPF10,0.577,0.154
C9,NDUFA3,0.469,0.061
C9,BCL11A,0.624,0.248
C9,DDX39B,0.472,0.057
C9,FOXG1,0.753,0.506
C9,SOX9,0.734,0.468
C9,LHX2,0.76,0.52
C9,TCF4,0.687,0.373
C9,DOK5,0.648,0.295
C9,MPPED2,0.655,0.31
C9,GLI3,0.852,0.705
C9,SFRP1,0.794,0.588
C9,HEY1,0.665,0.329
C9,HES1,0.708,0.417
C9,TFAP2C,0.796,0.593
C9,TUBB,0.447,0.106
C9,CREB5,0.865,0.729
C9,C1orf61,0.896,0.793
C9,IFI44L,0.833,0.667
C9,NFIA,0.705,0.41
C9,PHLDA1,0.747,0.495
C9,NFIB,0.805,0.61
C9,TMSB10,0.376,0.247
C9,CALM2,0.216,0.568
C9,CFL1,0.341,0.319
C9,TUBA1C,0.36,0.28
C9,STMN1,0.224,0.553
C9,ARL6IP1,0.303,0.394
C9,EIF5A,0.428,0.145
C9,KNSTRN,0.375,0.25
C9,YWHAZ,0.488,0.024
C9,ACTG1,0.638,0.277
C9,THY1,0.397,0.207
C9,PSRC1,0.316,0.368
C9,PLK1,0.311,0.379
C9,TUBB4B,0.327,0.347
C9,TUBB2A,0.389,0.223
C9,AURKA,0.316,0.368
C9,FTH1,0.405,0.19
C9,CCNA2,0.311,0.377
C9,CDC20,0.294,0.412
C9,PTMS,0.32,0.36
C9,HN1,0.426,0.148
C9,DYNLL1,0.3,0.4
C9,YWHAB,0.381,0.237
C9,TROAP,0.362,0.277
C9,CCNB1,0.276,0.448
C9,MLLT11,0.358,0.284
C9,OLFM3,0.508,0.016
C9,ATP1A2,0.53,0.059
C9,CDO1,0.487,0.026
C9,RSPO3,0.381,0.237
