cluster,gene,auc,power
C2,MMP2,0.537,0.073
C2,TIMP1,0.558,0.116
C2,KDELR3,0.477,0.045
C2,MGP,0.422,0.157
C2,FXYD5,0.493,0.014
C2,SDC4,0.511,0.023
C2,IFITM2,0.583,0.166
C2,PDGFRB,0.444,0.112
C2,PPIC,0.478,0.044
C2,IFITM3,0.534,0.067
C2,TGFBI,0.446,0.107
C2,TPM2,0.494,0.012
C2,FTL,0.415,0.171
C2,KRT8,0.443,0.114
C2,BNC2,0.403,0.194
C2,GXYLT2,0.432,0.136
C2,OLFML3,0.428,0.144
C2,MME,0.441,0.117
C2,RBMS3,0.391,0.218
C2,ANXA2,0.447,0.107
C2,LGALS1,0.422,0.156
C2,SERPINB9,0.508,0.016
C2,COL5A2,0.447,0.106
C2,COL21A1,0.43,0.14
C2,SNAI2,0.448,0.103
C2,S100A10,0.434,0.132
C2,HAS2,0.438,0.125
C2,PITX2,0.446,0.107
C2,CRISPLD2,0.424,0.153
C2,IFITM1,0.471,0.058
C2,DDR2,0.423,0.153
C2,POSTN,0.394,0.212
C2,COL5A1,0.431,0.138
C2,MFAP4,0.409,0.183
C2,COL6A3,0.36,0.28
C2,LUM,0.317,0.367
C2,COL1A2,0.361,0.278
C2,DCN,0.339,0.322
C2,COL1A1,0.358,0.285
C2,COL3A1,0.318,0.364
C2,S100A11,0.432,0.136
C2,MTRNR2L12,0.538,0.075
C2,NNAT,0.746,0.492
C2,PRTG,0.746,0.492
C2,BCAT1,0.775,0.55
C2,CXADR,0.576,0.152
C2,EZR,0.432,0.136
C2,NDUFA6,0.591,0.182
C2,MEGF10,0.426,0.148
C2,STK17B,0.354,0.292
C2,SYNE2,0.504,0.009
C2,CLIC1,0.596,0.191
C2,APOLD1,0.434,0.132
C2,POU3F3,0.498,0.004
C2,ID4,0.489,0.022
C2,CA12,0.403,0.195
C2,FHL2,0.46,0.081
C2,FABP7,0.56,0.12
C2,H2AFX,0.467,0.066
C2,MASP1,0.33,0.339
C2,KIAA1217,0.461,0.078
C2,NTRK3,0.439,0.123
C2,MEIS2,0.436,0.128
C2,CSNK2B,0.577,0.155
C2,SLC1A3,0.512,0.025
C2,SEMA5A,0.416,0.168
C2,NBPF14,0.435,0.131
C2,IL33,0.457,0.086
C2,DMRTA2,0.407,0.185
C2,NBPF10,0.467,0.066
C2,NDUFA3,0.427,0.147
C2,BCL11A,0.275,0.45
C2,DDX39B,0.555,0.11
C2,FOXG1,0.509,0.019
C2,SOX9,0.438,0.124
C2,LHX2,0.456,0.087
C2,TCF4,0.384,0.232
C2,DOK5,0.415,0.17
C2,MPPED2,0.436,0.128
C2,GLI3,0.507,0.013
C2,SFRP1,0.576,0.153
C2,HEY1,0.327,0.346
C2,HES1,0.314,0.372
C2,TFAP2C,0.421,0.159
C2,TUBB,0.465,0.071
C2,CREB5,0.435,0.13
C2,C1orf61,0.297,0.405
C2,IFI44L,0.303,0.394
